County of residence,Population,At least one dose,At least one dose percent,Fully vaccinated,Fully vaccinated percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
Resident out of state,,52570,,34821,,,,05/05/2021
Address pending validation,,23955,,18695,,,,05/05/2021
Fairfield,943332,508060,53.86,394282,41.8,,,05/12/2021
Hartford,891720,477717,53.57,387099,43.41,,,05/12/2021
Litchfield,180333,95276,52.83,76466,42.4,,,05/12/2021
Middlesex,162436,100566,61.91,82865,51.01,,,05/12/2021
New Haven,854757,442310,51.75,360421,42.17,,,05/12/2021
New London,265206,136593,51.5,112836,42.55,,,05/12/2021
Tolland,150721,75930,50.38,63247,41.96,,,05/12/2021
Windham,116782,48854,41.83,39319,33.67,,,05/12/2021
Resident out of state,,55301,,40323,,,,05/12/2021
Address pending validation,,24309,,19944,,,,05/12/2021
Fairfield,943332,533469,56.55,430226,45.61,,,05/19/2021
Hartford,891720,488792,54.81,410545,46.04,,,05/19/2021
Litchfield,180333,102065,56.6,84748,47,,,05/19/2021
Middlesex,162436,104141,64.11,89092,54.85,,,05/19/2021
New Haven,854757,460442,53.87,387443,45.33,,,05/19/2021
New London,265206,141831,53.48,120862,45.57,,,05/19/2021
Tolland,150721,78534,52.11,67428,44.74,,,05/19/2021
Windham,116782,51891,44.43,43183,36.98,,,05/19/2021
Resident out of state,,57381,,43684,,,,05/19/2021
Address pending validation,,16821,,14413,,,,05/19/2021
Fairfield,943332,556437,58.99,455933,48.33,,,05/26/2021
Hartford,891720,509539,57.14,431820,48.43,,,05/26/2021
Litchfield,180333,105559,58.54,88695,49.18,,,05/26/2021
Middlesex,162436,107307,66.06,93304,57.44,,,05/26/2021
New Haven,854757,477736,55.89,407205,47.64,,,05/26/2021
New London,265206,146629,55.29,126366,47.65,,,05/26/2021
Tolland,150721,81509,54.08,70909,47.05,,,05/26/2021
Windham,116782,54659,46.8,46638,39.94,,,05/26/2021
Resident out of state,,60080,,45853,,,,05/26/2021
Address pending validation,,16959,,14869,,,,05/26/2021
Fairfield,943332,566727,60.08,470390,49.86,,,06/02/2021
Hartford,891720,519168,58.22,444720,49.87,,,06/02/2021
Litchfield,180333,106993,59.33,90996,50.46,,,06/02/2021
Middlesex,162436,108521,66.81,95304,58.67,,,06/02/2021
New Haven,854757,486046,56.86,417748,48.87,,,06/02/2021
New London,265206,148861,56.13,129858,48.96,,,06/02/2021
Tolland,150721,82758,54.91,72616,48.18,,,06/02/2021
Windham,116782,55604,47.61,48089,41.18,,,06/02/2021
Resident out of state,,61787,,47740,,,,06/02/2021
Address pending validation,,16915,,14993,,,,06/02/2021
Fairfield,943332,576386,61.1,493839,52.35,,,06/09/2021
Hartford,891720,526939,59.09,459636,51.54,,,06/09/2021
Litchfield,180333,110025,61.01,95902,53.18,,,06/09/2021
Middlesex,162436,109590,67.47,97805,60.21,,,06/09/2021
New Haven,854757,492954,57.67,434410,50.82,,,06/09/2021
New London,265206,150638,56.8,134998,50.9,,,06/09/2021
Tolland,150721,83753,55.57,74878,49.68,,,06/09/2021
Windham,116782,56435,48.33,49726,42.58,,,06/09/2021
Resident out of state,,63176,,49902,,,,06/09/2021
Address pending validation,,16893,,15123,,,,06/09/2021
Middlesex,162436,114695,70.61,107925,66.44,,,07/28/2021
New Haven,854757,528591,61.84,493052,57.68,,,07/28/2021
New London,265206,159440,60.12,150560,56.77,,,07/28/2021
Tolland,150721,87851,58.29,83276,55.25,,,07/28/2021
Windham,116782,60248,51.59,56584,48.45,,,07/28/2021
Resident out of state,,70417,,57614,,,,07/28/2021
Address pending validation,,16511,,15215,,,,07/28/2021
Fairfield,943332,621390,65.87,572124,60.65,,,08/04/2021
Hartford,891720,565650,63.43,527635,59.17,,,08/04/2021
