County of residence,Population,At least one dose,At least one dose percent,Fully vaccinated,Fully vaccinated percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
Fairfield,957418,819092,85.55,743373,77.64,418063,43.67,11/22/2022
Hartford,899499,725941,80.71,675615,75.11,406880,45.23,11/22/2022
Litchfield,185186,144222,77.88,135152,72.98,81849,44.2,11/22/2022
Middlesex,164245,138874,84.55,131383,79.99,87058,53,11/22/2022
New Haven,864835,685959,79.32,633435,73.24,373869,43.23,11/22/2022
New London,268554,209787,78.12,195249,72.7,120457,44.85,11/22/2022
Tolland,149788,110187,73.56,103342,68.99,66217,44.21,11/22/2022
Windham,116419,80045,68.76,74380,63.89,41787,35.89,11/22/2022
Address pending validation,,11760,,9565,,3189,,11/22/2022
Fairfield,957418,818402,85.48,743411,77.65,418444,43.71,11/30/2022
Hartford,899499,725624,80.67,675771,75.13,407206,45.27,11/30/2022
Litchfield,185186,144164,77.85,135176,72.99,81937,44.25,11/30/2022
Middlesex,164245,138784,84.5,131378,79.99,87126,53.05,11/30/2022
New Haven,864835,685527,79.27,633539,73.26,374272,43.28,11/30/2022
New London,268554,209717,78.09,195298,72.72,120579,44.9,11/30/2022
Tolland,149788,110145,73.53,103357,69,66275,44.25,11/30/2022
Windham,116419,80034,68.75,74416,63.92,41819,35.92,11/30/2022
Address pending validation,,11687,,9530,,3179,,11/30/2022
Fairfield,957418,817208,85.36,743232,77.63,419331,43.8,12/07/2022
Hartford,899499,725158,80.62,675920,75.14,407757,45.33,12/07/2022
Litchfield,185186,144081,77.8,135209,73.01,82166,44.37,12/07/2022
Middlesex,164245,138707,84.45,131430,80.02,87255,53.12,12/07/2022
New Haven,864835,685186,79.23,633797,73.29,375844,43.46,12/07/2022
New London,268554,209596,78.05,195315,72.73,120688,44.94,12/07/2022
Tolland,149788,110061,73.48,103384,69.02,66339,44.29,12/07/2022
Windham,116419,79956,68.68,74394,63.9,41847,35.95,12/07/2022
Address pending validation,,11609,,9472,,3166,,12/07/2022
Fairfield,957418,816282,85.26,743188,77.62,420011,43.87,12/14/2022
Hartford,899499,724795,80.58,676091,75.16,408213,45.38,12/14/2022
Litchfield,185186,144032,77.78,135243,73.03,82233,44.41,12/14/2022
Middlesex,164245,138615,84.4,131452,80.03,87350,53.18,12/14/2022
New Haven,864835,684833,79.19,633913,73.3,376255,43.51,12/14/2022
New London,268554,209596,78.05,195488,72.79,120914,45.02,12/14/2022
Tolland,149788,110003,73.44,103401,69.03,66384,44.32,12/14/2022
Windham,116419,79922,68.65,74400,63.91,41877,35.97,12/14/2022
Address pending validation,,11499,,9381,,3139,,12/14/2022
Fairfield,957418,815321,85.16,743299,77.64,420847,43.96,12/21/2022
Hartford,899499,724333,80.53,676191,75.17,408757,45.44,12/21/2022
Litchfield,185186,143966,77.74,135297,73.06,82337,44.46,12/21/2022
Middlesex,164245,138560,84.36,131471,80.05,87422,53.23,12/21/2022
New Haven,864835,684468,79.14,634117,73.32,376776,43.57,12/21/2022
New London,268554,209500,78.01,195552,72.82,121062,45.08,12/21/2022
Tolland,149788,109914,73.38,103405,69.03,66434,44.35,12/21/2022
Windham,116419,79899,68.63,74419,63.92,41930,36.02,12/21/2022
Address pending validation,,11437,,9326,,3117,,12/21/2022
Fairfield,957418,814452,85.07,743306,77.64,421384,44.01,12/28/2022
Hartford,899499,723802,80.47,676186,75.17,409110,45.48,12/28/2022
Litchfield,185186,143896,77.7,135302,73.06,82400,44.5,12/28/2022
Middlesex,164245,138467,84.31,131481,80.05,87477,53.26,12/28/2022
New Haven,864835,683945,79.08,634154,73.33,377198,43.62,12/28/2022
New London,268554,209440,77.99,195605,72.84,121158,45.11,12/28/2022
Tolland,149788,109867,73.35,103411,69.04,66463,44.37,12/28/2022
Windham,116419,79883,68.62,74416,63.92,41965,36.05,12/28/2022
Address pending validation,,11394,,9301,,3106,,12/28/2022
Fairfield,957418,813803,85,743321,77.64,421750,44.05,01/04/2023
Hartford,899499,723438,80.43,676308,75.19,409424,45.52,01/04/2023
Litchfield,185186,143808,77.66,135281,73.05,82421,44.51,01/04/2023
Middlesex,164245,138390,84.26,131469,80.04,87502,53.28,01/04/2023
New Haven,864835,683527,79.04,634183,73.33,377420,43.64,01/04/2023
New London,268554,209396,77.97,195686,72.87,121232,45.14,01/04/2023
Tolland,149788,109812,73.31,103415,69.04,66496,44.39,01/04/2023
Windham,116419,79849,68.59,74434,63.94,42009,36.08,01/04/2023
Address pending validation,,11357,,9279,,3094,,01/04/2023
Fairfield,957418,813498,84.97,743478,77.65,422068,44.08,01/12/2023
Hartford,899499,723407,80.42,676487,75.21,409665,45.54,01/12/2023
Litchfield,185186,143787,77.64,135303,73.06,82445,44.52,01/12/2023
Middlesex,164245,138348,84.23,131512,80.07,87545,53.3,01/12/2023
New Haven,864835,683499,79.03,634432,73.36,377705,43.67,01/12/2023
New London,268554,209397,77.97,195770,72.9,121334,45.18,01/12/2023
Tolland,149788,109791,73.3,103421,69.04,66501,44.4,01/12/2023
Windham,116419,79859,68.6,74459,63.96,42028,36.1,01/12/2023
Address pending validation,,11316,,9257,,3087,,01/12/2023
Fairfield,957418,813043,84.92,743092,77.61,421847,44.06,01/18/2023
Hartford,899499,723302,80.41,676473,75.21,409672,45.54,01/18/2023
Litchfield,185186,143694,77.59,135228,73.02,82404,44.5,01/18/2023
Middlesex,164245,138409,84.27,131582,80.11,87624,53.35,01/18/2023
New Haven,864835,683204,79,634221,73.33,377562,43.66,01/18/2023
New London,268554,209434,77.99,195826,72.92,121393,45.2,01/18/2023
Tolland,149788,109776,73.29,103425,69.05,66483,44.38,01/18/2023
Windham,116419,79817,68.56,74426,63.93,41999,36.08,01/18/2023
Address pending validation,,11348,,9292,,3113,,01/18/2023
Fairfield,957418,813028,84.92,743260,77.63,422095,44.09,01/25/2023
Hartford,899499,723406,80.42,676633,75.22,409841,45.56,01/25/2023
Litchfield,185186,143702,77.6,135258,73.04,82452,44.52,01/25/2023
Middlesex,164245,138409,84.27,131609,80.13,87646,53.36,01/25/2023
New Haven,864835,683281,79.01,634350,73.35,377726,43.68,01/25/2023
New London,268554,209489,78.01,195901,72.95,121452,45.22,01/25/2023
Tolland,149788,109776,73.29,103438,69.06,66497,44.39,01/25/2023
Windham,116419,79828,68.57,74449,63.95,42012,36.09,01/25/2023
Address pending validation,,11298,,9255,,3100,,01/25/2023
Fairfield,957418,812870,84.9,743352,77.64,422302,44.11,02/01/2023
Hartford,899499,723456,80.43,676825,75.24,409979,45.58,02/01/2023
Litchfield,185186,143698,77.6,135271,73.05,82478,44.54,02/01/2023
Middlesex,164245,138400,84.26,131638,80.15,87682,53.38,02/01/2023
New Haven,864835,683251,79,634462,73.36,377892,43.7,02/01/2023
New London,268554,209514,78.02,195953,72.97,121510,45.25,02/01/2023
Tolland,149788,109791,73.3,103460,69.07,66527,44.41,02/01/2023
Windham,116419,79840,68.58,74483,63.98,42045,36.12,02/01/2023
Address pending validation,,11236,,9206,,3083,,02/01/2023
Fairfield,957418,812751,84.89,743404,77.65,422369,44.12,02/08/2023
Hartford,899499,723652,80.45,677058,75.27,410115,45.59,02/08/2023
Litchfield,185186,143700,77.6,135285,73.05,82506,44.55,02/08/2023
Middlesex,164245,138414,84.27,131651,80.16,87676,53.38,02/08/2023
New Haven,864835,683302,79.01,634564,73.37,377997,43.71,02/08/2023
New London,268554,209552,78.03,196002,72.98,121552,45.26,02/08/2023
Tolland,149788,109776,73.29,103455,69.07,66535,44.42,02/08/2023
Windham,116419,79858,68.6,74498,63.99,42061,36.13,02/08/2023
Address pending validation,,11179,,9157,,3065,,02/08/2023
